Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
2MASS J06405747+0935147,,J06405747+0935147,100.23958333333333,9.5875,760.0,90,M,22.84,,20.77,,18.29,15.49,14.69,,14.18,,,,,,,,,,UNCON,,100.23948772657,9.58741461372,0.0112203,0.007283,115.93,3326696777731712640,100.23947575241,0.4749,9.58739785022,0.4188,1.954,0.5606,3.4856,4.613,-2.657,0.662,-3.772,0.506,195,1.2446,248.15,1.753,2.485,95,1.0565,0.1534,13,1.063,false,204.465,1.23584,19.910816,38.1242,8.52303,21.38554,354.97,18.372416,1.923,3.013125,,,0,,,119501002394905378,,,,0.007117,0.242743,0.05468,19.885225,0.006977,209.342,0.44,10.5811,8.1839,-0.3309,0.457893
KIC 1868650 B,x,J19260944+3720081,291.5391666666667,37.33555555555556,,,M,,,,,,,,,,,,,,,52.0,,7.9E-4,2008.0,,,291.53934288794,37.33560083571,4.35E-4,3.877E-4,2.71,2051770507972278016,291.53935756694,0.0186,37.33556192999,0.0211,1.7169,0.0237,72.386,9.139,2.626,0.024,-8.754,0.027,400,1.9978,1711.71,0.231,37.25,31,,,28,1.071,false,68757.8,61.6609,13.594062,55006.1,105.331,13.487515,24112.1,13.792308,1.151,-0.304792,,,0,,,152802915393683315,1237668680465516177,,637287553,0.002922,0.00348,0.00587,13.594062,0.002922,68757.8,0.004,0.3878,0.4349,0.0109,0.530093
Mayrit 1082188,,J05383446-0253514,84.64375,-2.8975,360.0,65,M0,,,17.8,,17.17,15.55,14.15,12.71,12.65,10.9,9.85,8.09,,,36.0,,,,,,84.64356434662,-2.89764490578,0.0063888,0.0048865,118.1,3216058317107170688,84.64357613487,0.3089,-2.8976458439,0.2845,3.3606,0.3918,8.578,2.657,2.649,0.374,-0.211,0.317,339,27.8235,1788.3,2.801,54.08,95,1.3798,0.0772,21,2.252,false,729.109,11.9282,18.530386,318.622,17.0114,19.080353,918.046,17.340734,1.696,1.739618,,,0,,,104520846435693267,1237667727512830729,27643706,,0.017975,0.058035,0.053231,18.525861,0.017902,732.154,0.396,6.0876,5.2569,-0.2199,0.847162
CFHTWIR-Oph 30,,,246.65333333333334,-24.316666666666666,125.0,?,M3,,,,,,16.24,14.35,13.06,,,,,3380,,,,,2011.0,UNCON,,246.65341476138,-24.31672793357,0.0284821,0.0142477,73.52,6049164499558341504,246.65339519655,1.0146,-24.31684225866,0.5518,6.015,0.7064,8.5155,26.034,-4.012,1.775,-25.723,1.02,383,4.5693,579.51,2.604,5.181,95,1.1372,0.107,12,1.17,false,164.563,5.07135,20.146538,30.8949,3.59646,21.613827,355.137,18.371906,2.346,3.241921,,,0,,,78822466534180167,,,,0.033573,0.126421,0.117984,20.120947,0.032796,168.488,0.829,27.6092,15.873,0.3776,0.346422
2MASS J06475229-2523304 B,x,J06475229-2523304 B,101.96791666666667,-25.391666666666666,240.0,40,M3,,,,,,13.58,12.66,12.88,13.07,,,,,,,260.0,,,,,101.96791273813,-25.39179609689,2.297E-4,1.651E-4,173.65,2920301135326368128,101.96802456106,0.008,-25.39211448442,0.0117,5.7326,0.0142,403.3484,75.157,22.73,0.01,-71.637,0.014,580,6.0452,1509.12,0.113,20.97,31,,,27,1.183,false,1250390.0,4477.1,10.444751,475113.0,5577.26,11.146549,1120580.0,9.624293,1.276,1.522256,,,0,,,,,48845887,,0.004765,0.013047,0.010732,10.444751,0.004765,1250390.0,0.003,0.166,0.229,-0.0737,0.466124
S Ori 18,,J05382568-0231216,84.60708333333334,-2.522777777777778,360.0,65,M3.5,19.99,,18.68,,16.63,14.59,14.09,13.75,13.84,13.41,13.19,,,,64.0,,,,UNCON,,84.60702253624,-2.52269893994,0.0027902,0.0020507,112.53,3216490871853212928,84.60702597819,0.1346,-2.5227019715,0.1141,2.4896,0.1612,15.4452,1.031,0.774,0.165,-0.682,0.131,331,0.843,382.13,0.429,1.569,31,,,21,1.032,false,1003.11,1.75021,18.183996,112.628,9.1304,20.209423,1483.28,16.819841,1.591,3.389582,,,0,,,104970846070073207,,27659332,,0.003344,0.088061,0.011564,18.183996,0.003344,1003.11,0.053,2.6944,2.1751,-0.2162,0.358277
S Ori 16,,J05391510-0240475,84.81291666666667,-2.6799999999999997,360.0,65,M3.5,20.45,,18.73,,17.28,14.67,14.04,13.66,,,,,,,65.0,,,,,,84.81293389308,-2.67990767589,0.0040641,0.0024382,124.63,3216438198374051968,84.81294026969,0.1856,-2.67990919773,0.1604,2.3279,0.2114,11.012,1.474,1.433,0.219,-0.342,0.183,325,1.1103,396.25,0.45,1.535,31,,,19,1.043,false,909.152,1.48565,18.290775,88.5174,9.40223,20.47097,1408.45,16.876041,1.647,3.594929,,,0,,,104780848129174554,,27674613,,0.003277,0.11536,0.007974,18.290775,0.003277,909.152,0.08,3.6197,3.0594,-0.4464,0.33809
Mayrit 799173,,J05385100-0249140,84.7125,-2.8205555555555555,360.0,65,M4.5,20.04,,18.58,,16.9,15.03,14.45,14.14,14.16,14.0,13.82,,,,45.0,,,,UNCON,,84.71251143407,-2.8205593462,0.0030271,0.0022253,116.03,3216060584849379584,84.71250350201,0.1419,-2.82055420465,0.1264,2.5736,0.1844,13.953,2.125,-1.783,0.177,1.157,0.145,291,-0.1173,306.56,0.0,0.0,31,,,18,0.994,false,842.381,1.52103,18.373596,101.254,6.54321,20.325018,1184.53,17.064028,1.526,3.26099,,,0,,,104610847124895771,1237671559157383808,27674145,,0.003382,0.070218,0.008406,18.373596,0.003382,842.381,0.007,2.8901,2.4006,-0.2393,0.043318
S Ori 35,,J05375559-0233053,84.48166666666667,-2.551388888888889,360.0,65,M4.5,21.37,,19.4,,17.57,15.14,14.66,14.3,14.19,13.95,13.39,,,,43.0,,,,UNCON,,84.48164098933,-2.55148425371,0.0049895,0.003754,104.04,3216127315754927616,84.48164750358,0.2369,-2.55149042078,0.1971,2.6777,0.2665,10.0474,2.017,1.464,0.303,-1.388,0.232,366,0.8282,476.54,0.957,2.495,95,1.0903,0.0537,20,1.03,false,421.046,1.35514,19.126541,49.7588,7.69045,21.096367,681.694,17.663921,1.737,3.432446,,,0,,,104930844816468620,,27659130,,0.00445,0.167829,0.021881,19.10095,0.004386,431.088,0.193,4.9254,3.8377,-0.1345,0.355516
Mayrit 790270,,J05375206-0236046,84.46708333333333,-2.601388888888889,360.0,65,M4.5,20.91,,19.2,,17.49,15.14,14.64,14.33,14.2,14.17,13.82,,,,43.0,,,,UNCON,,84.466962271,-2.60129129394,0.0047353,0.003176,117.77,3216126486827855744,84.46696792247,0.2188,-2.60129783828,0.1816,2.6246,0.2365,11.0963,1.945,1.27,0.271,-1.472,0.215,348,-0.1661,417.37,0.685,1.889,95,1.1454,0.0459,20,0.993,false,535.527,1.31397,18.865414,61.1219,6.71676,20.87305,829.641,17.45067,1.663,3.42238,,,0,,,104870844669558867,,27658920,,0.003833,0.119345,0.008749,18.839823,0.00379,548.299,0.121,4.4435,3.5729,-0.3203,0.559458
