Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
WISE J041318.68+210326.5,,,63.32791666666667,21.0575,,,L7.5,,,,,,,,,,,,,,,,,,2015.0,UNCON,,63.32757719107,21.05818409206,0.0045566,0.003316,83.71,52368742399289472,63.3279057322,0.2111,21.05697153382,0.1498,9.0817,0.2314,39.2536,281.412,68.985,0.282,-272.826,0.209,248,1.1596,304.29,0.617,1.444,31,,,15,1.052,false,656.477,1.28792,18.644318,76.7731,5.6035,20.625519,993.025,17.255495,1.63,3.370024,,,0,,,133260633277889492,,,556029774,0.003483,0.079295,0.012711,18.644318,0.003483,656.477,0.095,4.5437,3.3336,0.0702,2.713997
LHS 2397aB,x,J11202634-1440017,170.11,-14.667222222222222,14.25,0.43,L7.5,,,,,,15.23,14.4,,13.6,,,,1350,1.0,71.0,3.086,14.26,2003.0,,,170.10956878205,-14.6673121118,0.0013708,8.788E-4,99.07,3561357920880462848,170.10778947911,0.0656,-14.66889759108,0.0483,18.944,0.0727,260.7032,526.551,-387.297,0.084,-356.731,0.056,209,-1.2717,217.97,0.0,0.0,31,,,15,0.936,false,3755.72,4.40244,16.750633,357.516,12.1281,18.955303,5460.63,15.404788,1.549,3.550515,,,0,,,90391701084518382,,,,0.003035,0.036937,0.004979,16.750633,0.003035,3755.72,-0.011,1.3607,0.8943,-0.1416,1.536265
WISEP J004701.06+680352.1,,J00470038+6803543,11.754583333333333,68.06444444444445,15.0,1,L7.5,,,,,,15.6,13.97,13.05,,11.88,11.27,10.33,1350,,,,,2012.0,,,11.75621270888,68.06418954419,0.0234544,0.0158925,46.6,529737834613545728,11.75621270888,20.2401,68.06418954419,19.8246,,,,,,,,,44,24.553,900.62,63.785,100.0,3,,,6,,false,71.2126,1.22969,21.055975,58.6112,27.5617,20.91859,153.785,19.280613,2.983,1.637978,,,0,,,,,,,0.01895,0.510571,0.042251,21.055975,0.01895,71.2126,1.695,20.2401,19.8246,0.3702,2.375628
DENIS-P J013035.5-444541 B,x,J01303563-4445411,22.649166666666666,-44.76138888888889,40.0,14,L7.5,,,,,,17.28,16.13,15.34,15.34,,,,1450,,69.0,130.0,3860.0,2011.0,,,22.64849021191,-44.76144425337,0.0033572,0.0024346,138.08,4934682372428878208,22.64922336553,0.1393,-44.76156871857,0.1638,29.0484,0.2297,126.4587,120.43,117.129,0.18,-28.004,0.188,463,1.1545,752.98,1.235,7.546,95,1.0214,0.0408,28,1.038,false,618.826,1.14956,18.708447,41.2986,7.16086,21.298704,1147.75,17.098274,1.921,4.20043,,,0,,,,,504169499,,0.003415,0.188279,0.006804,18.682856,0.003387,633.584,0.274,2.8832,2.9808,-0.3091,1.740577
2MASS J21321145+1341584 B,x,J21321145+1341584,323.04791666666665,13.699444444444445,27.78,0.54,L7.5,,,,,,17.05,15.9,15.08,,,,,,,79.0,1.8,10.0,,UNCON,,323.04778907341,13.69893054123,0.0091098,0.0059025,26.23,1770412289943986432,323.04778907341,6.6516,13.69893054123,8.5781,,,,,,,,,115,3.4297,168.23,5.096,1.855,3,,,5,,false,65.9809,1.12637,21.13882,37.9172,5.54099,21.39145,148.065,19.321766,2.819,2.069685,,,0,,,,,,,0.018738,0.158687,0.103408,21.13882,0.018738,65.9809,1.474,6.6516,8.5781,0.3345,1.903115
SDSS J082519.45+211550.3,,J08251968+2115521,126.33208333333333,21.264444444444443,10.7,0.1,L7.5,22.5,,21.75,20.6,19.22,15.1,13.79,13.03,12.93,12.08,11.57,10.39,,,,,,2000.0,,,126.33171903034,21.26431926615,0.0159092,0.0086695,119.55,664214600677732864,126.32931321958,0.6841,21.26297407962,0.4994,92.6006,0.8221,112.6412,588.288,-504.454,0.896,-302.671,0.691,255,2.4678,336.72,2.093,2.088,95,0.9421,0.167,15,1.111,false,127.906,0.897327,20.420143,41.8019,7.75297,21.285553,248.637,18.758982,2.271,2.526571,,,0,,,133511263295935968,1237664835925836294,,,0.0081,0.20139,0.032208,20.402026,0.007982,130.058,0.86,14.485,10.8833,-0.4843,1.302633
SDSS J121209.31+013627.7 B,x,,183.03875,1.607777777777778,150.0,,L8,,,,,,,,,,,,,,,50.0,0.003,,2008.0,,,183.03878216453,1.60771423264,0.0029821,0.0017531,97.14,3699606286708406912,183.03867550677,0.1186,1.6074409691,0.0864,6.4743,0.1294,50.024,65.998,-23.989,0.185,-61.484,0.111,287,-0.0495,293.06,0.0,0.0,31,,,15,0.997,false,1206.38,1.88788,17.983658,841.319,12.071,18.02614,533.04,17.930996,1.139,0.095144,,,0,,,109921830387099504,1237651735221436440,112194130,459125269,0.003237,0.015826,0.018244,17.983658,0.003237,1206.38,-0.019,2.967,1.7786,-0.136,0.256378
2MASS J21481326-6323265,,J21481326-6323265,327.05541666666664,-63.39083333333333,15.0,?,L8,,,,,,15.33,14.34,13.77,,13.48,13.31,12.28,,,,,,,,,327.05526013882,-63.39076029916,0.018576,0.0094666,152.38,6402761567831358080,327.05505366216,0.5427,-63.39111905017,0.7782,16.8235,0.9798,17.1696,83.358,-20.808,0.746,-80.719,1.049,493,18.0246,1445.5,6.402,28.32,95,0.9324,0.1636,26,1.629,true,137.391,0.921214,20.34247,38.6676,8.8568,21.370174,313.924,18.505835,2.566,2.86434,,,0,,,,,,,0.007784,0.248703,0.022785,20.318829,0.007637,140.416,1.106,12.0219,17.0341,-0.5124,0.36446
2MASS J08503593+1057156 B,x,J08503593+1057156,132.64958333333334,10.954444444444444,32.79,0.86,L8,,,,,,17.7,16.45,,15.77,,,,1380,1.0,31.0,3.23,24.0,1999.0,,,132.65027384033,10.95443977603,0.003567,0.0011406,87.61,598656318656848256,132.65027384033,3.5642,10.95443977603,1.1493,,,,,,,,,81,0.3295,79.45,2.745,0.6752,3,,,7,,false,69.7815,1.24763,21.078016,38.7304,1.39805,21.368412,88.242,19.883707,1.82,1.484705,,,0,,,121141326502095802,1237671124296467133,,,0.019606,0.039291,0.207008,21.078016,0.019606,69.7815,0.551,3.5642,1.1493,0.1164,2.440588
2MASS J08564793+2235182 B,x,J08564793+2235182,134.19958333333332,22.58833333333333,30.86,0.95,L8,,,,,,,,,,,,,,,67.0,3.4,24.0,2003.0,,,134.19964736377,22.58841444703,0.0289108,0.01483,114.28,686139962047426048,134.19874848107,1.2202,22.58832260459,0.6092,31.8101,1.3319,23.8824,187.874,-186.734,1.653,-20.665,1.115,346,17.2265,1040.73,2.989,7.695,95,1.3592,0.2216,14,1.728,false,98.6288,0.780506,20.702358,33.3739,9.4498,21.530024,163.588,19.213518,1.997,2.316505,,,0,,,135101341988466736,1237667113330147527,,,0.009023,0.307438,0.068267,20.687949,0.008915,99.9464,0.617,27.0498,18.002,-0.4741,0.361337
