Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist,source,Designation,M?,2MASS Number,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
37.0,22.562839,-48.009066,22.56292938694,-48.00906116539,0.0079208,0.0030551,5.2,4930880394364802432,22.56292938694,3.126,-48.00906116539,7.8931,,,,,,,,,56,3.1588,89.05,10.22,6.562,3,,,7,,False,61.6015,1.62915,21.213388,,,,80.4237,19.984436,,,,,0,,,,,,,0.028846,,0.50248,21.213388,0.028846,61.6015,,3.126,7.8931,0.1953,0.218387,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,342.518887,-44.148394,342.5189654248,-44.14843039978,0.0784176,0.0047157,47.69,6540866962787682432,342.5189654248,58.0793,-44.14843039978,52.8994,,,,,,,,,52,1.5006,62.29,11.664,7.41,3,,,3,,False,69.2504,2.46929,21.086311,556.241,973.409,18.475386,108.688,19.657438,9.602,-1.182053,,,0,,,,,,,0.038812,1.900015,0.024726,21.086311,0.038812,69.2504,8.442,58.0793,52.8994,0.9927,0.241269,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,311.770074,-42.80654,311.76986896825,-42.80664692273,0.009418,0.0069839,41.66,6677084152685387904,311.77009783905,0.4339,-42.80656612195,0.3573,14.1387,0.5978,23.6525,41.927,37.78,0.508,18.18,0.525,304,1.0402,375.37,1.569,2.149,95,0.9029,0.1094,19,1.042,False,189.847,0.681304,19.991358,39.6282,6.71718,21.34353,344.148,18.406033,2.022,2.937498,,,0,,,,,487451091.0,,0.004772,0.184059,0.017894,19.966641,0.004701,194.218,0.55,8.1496,8.4296,0.2886,0.664385,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.0,23.190065,-46.269954,23.19019530411,-46.26995410796,0.0043162,0.0018224,161.54,4931319752339196160,23.19019530411,2.2035,-46.26995410796,4.1346,,,,,,,,,76,2.3435,101.9,6.071,2.29,3,,,8,,False,55.5405,1.16356,21.325842,34.9783,4.79199,21.479044,112.219,19.62273,2.65,1.856314,,,0,,,,,,,0.022912,0.148771,0.209092,21.325842,0.022912,55.5405,1.335,2.2035,4.1346,-0.5046,0.324267,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,9.195428,-3.70872,9.19551685409,-3.70874242402,0.0028738,0.0012668,57.39,2528379116089711104,9.19551685409,2.5152,-3.70874242402,1.8807,,,,,,,,,114,3.5027,168.43,6.193,3.851,3,,,8,,False,71.8159,1.07342,21.046816,23.7429,3.38328,21.899708,140.299,19.380259,2.284,2.519449,,,0,,,,,13403834.0,,0.016461,0.154739,0.116714,21.046816,0.016461,71.8159,0.875,2.5152,1.8807,0.6386,0.329254,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.0,6.328272999999999,-2.057484,6.32840134696,-2.05755494821,0.016348,0.0112554,50.35,2541006659243013120,6.32829113239,0.7654,-2.0575176279,0.538,17.2443,0.9207,18.7286,26.166,-24.782,0.915,8.397,0.851,430,6.0292,678.18,2.789,6.454,95,1.2734,0.1117,14,1.213,False,149.454,0.594024,20.251095,34.623,6.03272,21.490131,266.373,18.68417,2.014,2.805962,,,0,,,1.0553006328347136e+17,1.2376794355949903e+18,13338380.0,,0.00512,0.1892,0.028739,20.228349,0.005045,152.619,0.562,14.4919,13.5619,0.3514,0.527684,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.0,37.136916,-48.303077,37.13724265669,-48.30258278987,0.0202998,0.0119689,173.94,4938988747158706176,37.13697019034,0.6385,-48.30312972012,0.9229,11.9084,0.9274,12.8404,129.64,-40.78,0.762,-123.059,1.286,310,3.7265,431.27,4.231,36.61,95,1.2843,0.2109,24,1.154,False,97.9633,0.715259,20.709707,33.4153,11.0951,21.528679,166.982,19.191221,2.046,2.337458,,,0,,,,,504436068.0,,0.008392,0.360515,0.057381,20.694925,0.008291,99.3062,0.663,12.0935,20.2258,-0.1154,1.943528,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
303.0,5.852288,-50.556182,5.85331997048,-50.55625088576,0.0061261,0.0040558,147.41,4972993858666530432,5.85223829358,0.2256,-50.55619355578,0.2605,21.5309,0.3958,54.3995,155.16,-154.623,0.299,12.9,0.353,706,3.7268,960.62,1.823,5.635,95,1.1451,0.0673,30,1.101,False,214.157,0.598504,19.860535,50.8044,6.78164,21.073788,389.277,18.272247,2.055,2.80154,,,0,,,,,,,0.004099,0.144957,0.019004,19.837858,0.004052,218.677,0.604,4.7503,5.6048,-0.3593,2.373268,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.0,312.088087,-42.138774,312.08767918355,-42.13863091574,0.0156894,0.0112088,85.84,6677136104607767936,312.08812837609,0.7359,-42.1388195812,0.5007,13.9916,0.9543,14.6623,86.132,74.945,0.989,-42.45,0.71,223,2.5069,293.52,1.961,1.814,95,1.2941,0.1714,18,1.121,False,152.213,0.621952,20.231241,36.2067,4.30646,21.44157,279.346,18.632542,2.073,2.809029,,,0,,,,,,,0.005222,0.129169,0.02038,20.208447,0.005144,155.442,0.621,15.6692,11.2371,0.0496,1.204371,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
427.0,4.804562,-62.433663,4.80384109731,-62.43344845617,0.0267638,0.0226819,81.44,4901530374570672768,4.80468719559,1.2301,-62.43369069786,1.1063,20.6024,1.6744,12.3046,103.597,88.1,1.633,-54.504,1.429,196,2.6147,322.24,5.991,5.042,95,1.0871,0.3589,19,1.135,False,,,,,,,145.362,19.341766,,,,,0,,,,,,,,,0.060119,,,,,26.6802,22.7802,0.0489,1.427932,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
