Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
CFBDS J151324+095345,,,228.35416666666666,9.895833333333332,,,L,,,,23.26,,17.8,,,,,,,,,,,,2010.0,UNCON,
CFBDS J005107+014105,,,12.783333333333333,1.685,,,L,,,,24.53,,18.67,,,,,,,,,,,,2010.0,UNCON,
Beta Pic b,x,,86.82125,-51.06638888888889,19.44,0.05,L,,,,,,,,,,,,,,,8.0,9.55,16.0,2010.0,,P
Oph J162651-242110,,,246.7125,-24.352777777777778,125.0,,L,,,,,,,18.69,17.5,,,,,,,,,,2015.0,,
*R+2011 03,,,330.68875,18.848055555555554,,,L,,,,,,23.19,,,,,,,,,,,,2011.0,UNCON,
CFBDS J030421-135836,,,46.09,-13.976944444444445,,,L,,,,23.09,,17.84,,,,,,,,,,,,2010.0,UNCON,
CFBDS J004148-013353,,,10.452916666666667,-1.565,,,L,,,,24.32,,19.28,,,,,,,,,,,,2010.0,UNCON,
CFBDS J105503+580827,,,163.76333333333332,58.14111111111111,,,L,,,,24.42,,19.73,,,,,,,,,,,,2010.0,UNCON,
CFBDS J004037+035316,,,10.1575,3.8880555555555554,,,L,,,,23.49,,18.27,,,,,,,,,,,,2010.0,UNCON,
S Ori 72,,,84.74666666666667,-2.5905555555555555,360.0,65,L,,,,,> 23.30,20.89,19.57,18.72,,,,,,,4.0,,,2009.0,UNCON,P
S Ori 74,,,84.68458333333334,-2.6688888888888886,360.0,65,L,,,,,> 23.30,21.1,> 18.54,19.38,,,,,,,4.0,,,2009.0,UNCON,P
CFBDS J132945-082730,,,202.44041666666666,-8.45861111111111,,,L,,,,24.66,,19.6,,,,,,,,,,,,2010.0,UNCON,
CFBDS J215454-014416,,,328.72541666666666,-1.7377777777777779,,,L,,,,23.86,,18.5,,,,,,,,,,,,2010.0,UNCON,
2MASS J11062877-7737331 B,x,J11062877-7737331,166.62,-77.62583333333333,,,L,,,,,,,,,,,,,,,13.0,210.0,,2004.0,,
CFBDS J215352-013855,,,328.4675,-1.648611111111111,,,L,,,,24.14,,19.25,,,,,,,,,,,,2010.0,UNCON,
CFBDS J215230-004504,,,328.12708333333336,-0.7513888888888889,,,L,,,,24.76,,19.37,,,,,,,,,,,,2010.0,UNCON,
CFBDS J003448-020500,,,8.703333333333333,-2.0836111111111113,,,L,,,,24.43,,19.31,,,,,,,,,,,,2010.0,UNCON,
*R+2011 02,,,141.38666666666666,44.4125,,,L,,,,,,22.53,,,,,,,,,,,,2011.0,UNCON,
