Star Number,RA (Decimal Degrees),DEC (Decimal Degrees),ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
4,253.87763276642175,-61.96277470247708,253.87463794887,-61.96383091714,0.003561,0.0033688,114.29,5818319147092829824,253.87461178265,0.2127,-61.96387345712,0.1988,0.1821,0.2807,0.6489,9.963,-2.767,0.214,-9.571,0.208,413,-1.6919,375.02,0.0,0.0,95,1.4333,0.0548,21,0.94,false,364.708,0.778542,19.282503,155.586,5.23918,19.858616,291.94,18.584661,1.227,1.273954,,,0,,,,,,,0.003601,0.036667,0.023429,19.283954,0.003602,364.221,-0.017,3.5292,3.4021,-0.0416,6.335528
10,175.98946417859867,-32.350079803856566,175.98729829691,-32.35130750712,0.0058413,0.003908,97.26,3477780331202064128,175.98727070959,0.1912,-32.35130782756,0.1713,0.3943,0.3078,1.2809,5.244,-5.244,0.362,-0.072,0.247,397,0.1517,427.15,0.124,0.03985,95,1.2814,0.0594,19,1.005,false,337.195,0.805748,19.367664,72.3347,5.3486,20.690176,388.309,18.274952,1.366,2.415224,,,0,,,,,86942769,,0.003785,0.08033,0.019338,19.3515,0.003758,342.253,-0.028,5.8155,3.9463,-0.1029,7.932347
12,48.343170191358965,79.72852835354516,48.33687038004,79.72661239951,0.002079,0.0019008,10.68,567652633373756416,48.33688767247,0.0937,79.72661844717,0.101,0.1159,0.1171,0.9899,1.527,0.694,0.118,1.361,0.128,355,-1.3391,328.66,0.0,0.0,31,,,26,0.949,false,857.504,1.08103,18.354277,400.91,8.89782,18.830925,647.632,17.719574,1.223,1.111351,,,0,,,203670483367362736,1237671073293992306,,849013797,0.003077,0.024258,0.015185,18.354277,0.003077,857.504,-0.005,1.9072,2.0732,0.0327,7.995722
18,28.39856812505447,60.991457827301616,28.40061285997,60.9894940193,3.924E-4,1.896E-4,141.54,508277081336878336,28.40062207593,0.0132,60.98947002304,0.0175,2.5243,0.0271,93.3155,5.492,1.006,0.018,-5.399,0.02,926,10.3741,1449.35,0.154,9.869,31,,,28,1.251,false,18501.1,4.04399,15.019373,6062.67,11.5996,15.881882,18323.6,14.090367,1.318,1.791514,,,0,,,181180284005718090,1237670445150306332,,755092243,0.002766,0.003479,0.003896,15.019373,0.002766,18501.1,0.011,0.2857,0.3291,-0.6115,7.919854
19,145.6313883470175,-68.84742769168444,145.62452625409,-68.84825042633,1.59E-4,1.565E-4,93.36,5243594527946134272,145.62441931034,0.0078,-68.84821803397,0.0086,1.1088,0.0086,128.9685,11.336,-8.683,0.01,7.288,0.01,350,-4.3549,437.84,0.02,0.5115,31,,,25,0.838,false,925260.0,90.7349,10.771707,383314.0,208.84,11.379656,775196.0,10.024367,1.252,1.355289,-40.91,0.26,10,5000.0,3.0,,,453067153,,0.002757,0.002852,0.003786,10.771707,0.002757,925260.0,-0.001,0.159,0.1565,-0.0019,9.393348
21,301.9564276467937,44.37227129276545,301.95686829846,44.37292778203,0.0035159,0.003067,155.85,2081855345129696384,301.95687181526,0.1473,44.37292964388,0.1569,0.5505,0.1766,3.1166,0.704,0.566,0.195,0.419,0.213,379,0.5066,404.76,0.0,0.0,31,,,28,1.018,false,480.598,1.04343,18.982912,125.399,4.58912,20.092804,477.302,18.050913,1.254,2.041891,,,0,,,161243019569198177,,,672337661,0.003626,0.039831,0.0152,18.982912,0.003626,480.598,-0.087,3.1466,3.4449,-0.1018,2.621312
23,305.2793973606699,62.310572408037416,305.27670521745,62.30890789614,0.0435029,0.0288699,16.94,2243235447034898176,305.27673631984,1.0735,62.30889895193,1.8173,0.4352,1.3947,0.312,3.824,3.252,1.884,-2.012,2.729,137,3.1008,193.88,3.595,1.993,95,0.7814,0.3376,13,1.195,false,91.9102,1.10601,20.778957,57.9871,13.7443,20.930214,134.349,19.427305,2.093,1.502909,,,0,,,182773052767091347,,,,0.013353,0.257361,0.069281,20.777817,0.013339,92.0068,0.822,30.3865,42.4574,0.2288,7.495993
28,282.68406002572397,-44.54380899938043,282.68432629549,-44.54463186777,0.0132873,0.0015194,133.56,6714902439239364864,282.68432629549,9.6858,-44.54463186777,9.222,,,,,,,,,43,-0.276,35.01,0.0,0.0,3,,,4,,false,75.8994,1.83735,20.986773,22.0047,7.32583,21.982254,86.6306,19.903717,1.431,2.078537,,,0,,,,,,,0.026427,0.361475,0.152927,20.986773,0.026427,75.8994,0.085,9.6858,9.222,-0.9741,3.040085
29,151.28749746599695,-74.55400976113943,151.28107930063,-74.55340058805,0.0044908,0.0040266,106.23,5205683843757534592,151.28101199624,0.2309,-74.55338387379,0.2208,0.4237,0.2439,1.7371,5.515,-4.033,0.276,3.761,0.25,325,-1.0666,306.4,0.0,0.0,31,,,27,0.957,false,326.43,0.920845,19.402891,125.469,7.18831,20.092203,275.291,18.648417,1.228,1.443787,,,0,,,,,460766586,,0.00412,0.062266,0.025455,19.402891,0.00412,326.43,-0.036,4.4563,4.0647,-0.0586,6.532864
30,314.1891375740837,52.10169572861858,314.19050831143,52.10235853218,0.007305,0.0023578,151.55,2170454133829548672,314.19050831143,4.0503,52.10235853218,6.5205,,,,,,,,,43,0.0631,37.88,0.0,0.0,3,,,4,,false,70.1218,1.84112,21.072735,,,,,,,,,,0,,,,,,,0.02864,,,21.072735,0.02864,70.1218,,4.0503,6.5205,-0.7581,3.857628
41,240.49863150239864,-71.89253230863493,240.49618991587,-71.89266812587,0.0116912,0.0098651,47.14,5818687655284081536,240.49613876967,0.5681,-71.89270909038,0.5302,1.2766,0.645,1.9793,9.887,-3.577,0.658,-9.217,0.658,337,2.3219,421.41,1.999,1.84,95,1.4901,0.1458,24,1.091,false,124.683,0.651455,20.447845,63.3824,8.27932,20.83362,109.261,19.651733,1.385,1.181887,,,0,,,,,,,0.006307,0.141852,0.091899,20.450102,0.006317,124.424,0.15,10.8846,10.7485,0.1678,2.775246
42,326.30707504438925,52.82664693502622,326.30856441619,52.82700463313,5.25E-4,5.027E-4,123.42,2173212701126961664,326.30848815897,0.0236,52.82697562158,0.0248,1.341,0.0276,48.5336,12.251,-10.367,0.032,-6.528,0.031,393,8.7347,708.49,0.186,6.862,31,,,27,1.328,false,13618.0,4.99245,15.35208,5675.81,33.8668,15.953472,12494.4,14.506105,1.334,1.447367,,,0,,,171393263085353102,,,715395792,0.002784,0.007054,0.009262,15.35208,0.002784,13618.0,0.07,0.5183,0.5096,-0.0398,3.486241
47,1.1285975336673415,29.89526264804934,1.12612127367,29.89477034836,0.041877,0.0126419,97.99,2861232651966123392,1.12605276231,1.3031,29.89474113261,0.6187,1.8722,1.2464,1.502,14.893,-13.364,2.556,-6.574,0.874,258,5.681,413.99,3.776,4.281,95,1.3288,0.241,14,1.262,false,92.9764,0.791863,20.766434,55.265,14.219,20.982418,131.999,19.446466,2.014,1.535952,,,0,,,,,,,0.009649,0.27936,0.115388,20.764859,0.009636,93.1114,0.74,41.508,13.8053,-0.3827,7.928976
49,277.6605987275247,-83.54348021434794,277.64098778917,-83.54347207667,0.0067096,0.0057685,75.97,6359121951323090944,277.64112593086,0.2659,-83.54352652471,0.2821,1.3921,0.3025,4.6022,12.74,3.495,0.413,-12.251,0.357,356,-0.7865,346.71,0.0,0.0,95,1.3397,0.0857,26,0.969,false,207.931,0.712703,19.892569,66.3351,7.08831,20.784184,215.582,18.913866,1.356,1.870318,,,0,,,,,484942695,,0.00463,0.116051,0.039734,19.885948,0.004612,209.203,0.039,6.658,5.828,0.0712,7.938902
51,260.36881707620216,-70.62794150447563,260.36191314278,-70.62815922096,0.0018007,0.0014144,4.58,5804842123829062144,260.36177427484,0.071,-70.62821323497,0.0864,2.1866,0.1194,18.3084,15.972,-10.364,0.087,-12.153,0.111,521,8.4763,876.78,0.685,8.027,31,,,29,1.274,false,1371.67,1.54255,17.844246,454.21,6.04782,18.6954,1481.37,16.821238,1.411,1.874163,,,0,,,,,404804007,,0.003014,0.014723,0.006273,17.844246,0.003014,1371.67,0.093,1.4172,1.7985,0.0388,8.281282
52,265.92475628143063,-46.852984196565686,265.92503789497,-46.85333304645,0.0045857,0.00293,62.46,5948904844608849152,265.92501177951,0.2228,-46.85335103402,0.2082,-0.2373,0.2325,-1.0207,5.703,-4.018,0.262,-4.047,0.199,292,-0.5812,284.36,0.0,0.0,31,,,17,0.975,false,491.861,1.02341,18.95776,210.83,4.82375,19.528711,379.052,18.30115,1.199,1.227562,,,0,,,,,,,0.003563,0.024998,0.026801,18.95776,0.003563,491.861,-0.04,4.2859,3.3534,0.355,1.434527
53,65.7686051412787,26.606885574062446,65.76898188806,26.60547284507,0.0242418,0.014133,82.82,152081424697303168,65.76900479484,1.0076,26.60543339963,0.4646,1.6882,1.0293,1.6402,10.0,4.608,1.492,-8.875,0.905,443,2.4481,567.89,2.427,2.914,95,1.2362,0.1366,13,1.083,false,141.545,0.681658,20.31013,43.7657,4.92733,21.235708,198.14,19.005466,1.709,2.230242,,,0,,,139920657689547093,1237660750871593243,,,0.00591,0.122269,0.044903,20.297261,0.005856,143.233,0.342,24.1166,14.3456,0.139,5.2284
55,155.79435625024325,39.32751370026824,155.79181943355,39.32897717804,0.0037765,0.0037034,142.44,755978599886436608,155.79181943355,3.7307,39.32897717804,3.7495,,,,,,,,,62,2.4512,86.5,5.733,2.146,3,,,6,,false,65.9235,1.36117,21.139765,32.7765,9.36522,21.549637,22.5561,21.364737,0.839,0.1849,,,0,,,155191557918595536,1237661139034571027,,,0.022587,0.31024,0.127548,21.139765,0.022587,65.9235,-0.322,3.7307,3.7495,-0.0189,8.812563
61,276.6672304335221,-40.52318674982693,276.66773515707,-40.52227986983,0.0050265,0.003527,60.38,6726303236650507776,276.66774528252,0.2129,-40.52230024889,0.2121,0.3445,0.2307,1.4936,4.901,1.732,0.289,-4.585,0.239,222,-0.9089,206.38,0.0,0.0,31,,,17,0.955,false,533.224,1.30116,18.870092,217.992,6.3208,19.492441,428.728,18.16744,1.213,1.325001,,,0,,,,,206601566,,0.003822,0.031605,0.015493,18.870092,0.003822,533.224,-0.037,4.7046,3.9463,0.2968,3.544912
63,75.96174256059872,88.27251075081122,75.90403442956,88.27243976025,0.0039591,0.0032447,70.66,576075923234059136,75.90482827761,0.1717,88.27241127785,0.1804,1.5242,0.2004,7.6049,8.371,5.385,0.242,-6.409,0.206,301,1.1284,341.5,0.277,0.2351,31,,,24,1.046,false,456.499,1.00489,19.038767,80.455,5.29498,20.57466,563.621,17.870428,1.411,2.704231,,,0,,,213920759041987779,,,,0.003647,0.07151,0.010908,19.038767,0.003647,456.499,-0.026,3.8871,3.3306,0.1242,6.26811
65,54.97640043829253,55.545698393563185,54.97808951535,55.54731168606,0.0013496,0.001225,47.62,445273798044236544,54.97808498561,0.0555,55.5473074081,0.0536,0.331,0.0779,4.2469,1.122,-0.577,0.081,-0.963,0.081,345,0.8731,391.79,0.217,1.584,31,,,20,1.033,false,2906.05,2.24022,17.02911,420.65,11.2437,18.77874,3999.64,15.742844,1.521,3.035896,,,0,,,174650549780367501,,,728134351,0.00288,0.029155,0.005134,17.02911,0.00288,2906.05,0.035,1.2945,1.2831,0.0961,6.7502
73,352.4930451213285,70.87867476376366,352.49647397013,70.87754377147,0.0131564,0.0075374,119.9,2227219715852312704,352.49653477468,0.5796,70.87757584511,0.4036,1.1327,0.4968,2.2801,8.495,4.482,0.77,7.217,0.583,275,2.1914,340.02,0.0,0.0,95,1.5697,0.1153,21,1.095,false,142.051,0.758438,20.306255,39.4089,6.47332,21.349558,143.373,19.356728,1.287,1.99283,,,0,,,193053524963893819,1237649769722872682,,,0.006418,0.178365,0.060068,20.297566,0.006377,143.193,-0.047,12.0078,9.2582,-0.452,5.738318
75,99.93156546268543,-57.75662084159427,99.92674977371,-57.7558427937,0.0014856,0.0014089,112.22,5484378739674925440,99.92672288515,0.0672,-57.75575727889,0.0676,0.5506,0.0683,8.0576,19.51,-3.228,0.092,19.241,0.087,347,-0.3424,347.28,0.0,0.0,31,,,28,0.986,false,1542.72,1.49864,17.716648,620.022,12.2538,18.357525,1266.01,16.9918,1.223,1.365725,,,0,,,,,471804792,,0.00295,0.021639,0.011452,17.716648,0.00295,1542.72,-0.032,1.4749,1.4201,-0.0372,9.664207
