Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
17713,18.600613,-47.727058,18.60080251115,-47.72699055072,0.0173543,0.0092213,156.01,4932272169927205248,18.60070542716,0.5288,-47.7270791146,0.7086,12.1973,0.869,14.0361,24.758,-14.694,0.684,-19.927,1.017,350,4.591,507.53,3.608,4.4,95,0.7124,0.1706,24,1.179,false,105.641,0.618218,20.627787,32.1553,5.89134,21.57041,186.257,19.072617,2.067,2.497793,,,0,,,,,504064050,,0.006926,0.198943,0.043732,20.610171,0.006832,107.369,0.661,10.9892,16.2924,-0.4484,0.519198
17718,5.135597,-50.376214999999995,5.13571469551,-50.3762470797,0.0418252,0.0043342,100.88,4973805092091218944,5.13571469551,41.0812,-50.3762470797,8.9706,,,,,,,,,42,2.243,58.93,8.451,2.03,3,,,5,,false,58.8394,1.65788,21.263197,32.946,8.53286,21.544035,118.11,19.567175,2.567,1.97686,,,0,,,,,,,0.030716,0.281214,0.158176,21.263197,0.030716,58.8394,1.236,41.0812,8.9706,-0.8706,0.293859
17767,318.272075,-53.228984999999994,318.27207710225,-53.22900137466,0.0022274,0.0017517,127.26,6464482236444184960,318.27207710225,2.0657,-53.22900137466,1.9397,,,,,,,,,191,14.5281,628.97,14.765,24.26,3,,,15,,false,83.1648,1.08871,20.887518,50.8553,13.039,21.0727,172.44,19.156301,2.685,1.916399,,,0,,,,,,,0.014478,0.27839,0.041588,20.887518,0.014478,83.1648,1.361,2.0657,1.9397,-0.2277,0.059123
17829,5.610968,0.006349,5.61098584606,0.00644633825,0.0088608,0.0057497,60.26,2545284382244546176,5.61099229011,0.3412,0.00627997008,0.2753,12.4825,0.4455,28.0216,37.461,1.45,0.51,-37.433,0.418,381,12.0861,1020.55,2.272,19.47,95,1.1083,0.0668,15,1.471,false,450.508,1.67795,19.053112,32.9464,4.79667,21.544022,843.745,17.432367,1.946,4.111654,,,0,,,108000056109728070,1237663784199848203,16650974,,0.004893,0.158097,0.009435,19.027521,0.004816,461.252,0.311,8.2052,6.6518,0.3587,0.356258
17847,304.243817,-53.549717,304.2435643817,-53.54944865553,0.027485,0.0231747,57.93,6473417971738652928,304.24385120702,1.3072,-53.54978688691,1.0628,6.0583,1.4777,4.0997,85.215,38.343,1.625,-76.102,1.528,134,3.3993,195.86,4.669,3.278,95,0.9068,0.4089,13,1.217,false,,,,,,,135.16,19.420773,,,,,0,,,,,481881880,,,,0.077058,,,,,26.3413,24.4669,0.1524,1.106875
17852,20.203141,-39.430789,20.20329345694,-39.4307621477,0.0182107,0.0125263,152.32,4985394696266010624,20.20321644376,0.6385,-39.4308166871,0.6767,5.2017,1.2776,4.0714,18.158,-13.384,0.867,-12.271,1.069,486,4.3012,648.84,3.99,3.961,95,0.9439,0.1893,20,1.141,false,91.4302,0.601159,20.784641,24.453,3.14462,21.867712,159.546,19.240683,2.012,2.627029,,,0,,,,,9178905,,0.007652,0.139652,0.032431,20.764805,0.007532,93.116,0.587,13.9508,17.144,-0.3005,0.434806
17867,40.050034,-9.678942,40.04974276318,-9.67875117428,0.0135039,0.0102513,91.54,5173825773513068032,40.0501083111,0.7058,-9.67898872403,0.5523,10.3346,0.7739,13.3546,97.11,81.078,0.852,-53.449,0.64,189,4.7666,311.32,2.949,5.187,95,1.2603,0.194,16,1.257,false,160.644,1.15206,20.172705,23.316,4.10827,21.919409,275.051,18.649364,1.857,3.270044,,,0,,,96380400499185717,,15358768,,0.008259,0.191327,0.054376,20.147114,0.008089,164.476,0.337,13.5018,10.254,-0.015,1.241013
17953,354.803716,-42.445156999999995,354.80360903236,-42.44522083716,0.0143982,0.0119833,168.55,6532440713694451328,354.80378029242,0.5402,-42.44519010557,0.7265,6.9957,0.8885,7.8736,29.263,28.435,0.753,6.915,0.913,265,2.5872,344.86,2.311,1.994,95,0.7227,0.1917,16,1.114,false,112.299,0.726989,20.56143,26.2253,6.00228,21.79174,190.019,19.050903,1.926,2.740837,,,0,,,,,,,0.00755,0.248512,0.060791,20.539716,0.00742,114.567,0.483,12.0876,14.3108,-0.0717,0.365462
17966,332.959221,1.363175,332.95924727566,1.36314174072,0.0018293,0.0016207,45.89,2682099667810120960,332.95924727566,1.7314,1.36314174072,1.7249,,,,,,,,,100,2.2912,129.39,3.821,2.316,3,,,8,,false,114.281,1.24181,20.542433,34.3665,14.0089,21.498205,184.905,19.080524,1.919,2.417681,,,0,,,109633329591946235,1237678617942885725,16182706,,0.012115,0.442591,0.087666,20.542433,0.012115,114.281,0.524,1.7314,1.7249,0.1204,0.152574
17999,324.057997,-45.879245999999995,324.05802729737,-45.87929686425,0.0133703,0.0083236,75.89,6563935605797290752,324.05802729737,13.1248,-45.87929686425,8.7055,,,,,,,,,58,3.5517,97.62,10.226,4.806,3,,,3,,false,66.6293,1.46833,21.128204,60.5852,15.7082,20.882626,84.7595,19.927423,2.181,0.955202,,,0,,,,,,,0.024085,0.281517,0.175437,21.128204,0.024085,66.6293,0.969,13.1248,8.7055,0.2265,0.198231
