Star Number,RA,Dec
1,16.568838,-52.537909
2,23.216813,-63.690835
3,313.501748,-60.50519
4,315.506959,-53.252306999999995
5,33.147793,-51.827701
6,340.021418,-41.628766999999996
7,341.945014,-1.278796
8,347.021839,-0.463394
9,345.825938,-60.674262
10,86.721837,-57.048795
11,30.942465,-60.291072
12,48.182826,-51.574504999999995
13,326.298099,-57.292626999999996
14,74.608381,-50.186124
15,62.698297999999994,-54.012252
16,46.355239,-53.957369
17,53.517019,-49.092454
18,326.717868,-1.157904
19,0.426129,-45.549205
20,47.194303999999995,-46.406017
21,354.337906,-59.603047999999994
22,19.82262,-43.886986
23,0.961648,-51.338919999999995
24,347.806623,-57.935962999999994
25,14.090898,-44.007045
26,308.912964,-61.142390999999996
27,65.37545,-45.472581
28,0.855476,-0.34573
29,67.78689899999999,-48.589600000000004
30,73.38135,-51.695246999999995
31,27.346279,0.181398
32,52.551241,-46.247433
33,303.504981,-55.406088999999994
34,2.975103,-51.992163999999995
35,2.1885049999999997,-47.858563
36,41.09981,-62.087132
37,70.93833099999999,-50.869481
38,352.442109,-57.568017999999995
39,88.720967,-55.874216999999994
40,31.783314999999998,-49.125529
41,333.955844,-56.353992999999996
42,354.051322,0.44407399999999997
43,349.379362,-44.677738999999995
44,23.954608999999998,-2.61335
45,27.118271999999997,-3.105997
46,8.134859,-61.121888
47,359.765269,-50.303186
48,11.475119,-42.445088999999996
49,41.230556,-50.407398
50,39.709937,-48.116495
51,17.950768999999998,-44.392247999999995
52,44.805499,-52.717853999999996
53,311.947883,-59.872622
54,66.300978,-46.253788
55,321.250678,-50.014309
56,82.308315,-55.457829999999994
57,58.404976,-61.962647999999994
58,40.517444,-53.610276999999996
59,304.109704,-55.791368999999996
60,326.053969,-43.270500999999996
61,317.028167,-63.476538
62,357.059088,-43.674395
63,352.092719,-45.450272999999996
64,354.911885,-44.774184
65,26.075861999999997,-63.715337999999996
66,331.034372,-42.070856
67,347.277554,-0.690232
68,35.684055,-7.324824
69,0.152241,-2.639577
70,316.839173,-54.180006999999996
71,346.187082,-44.909409
72,343.702819,-44.113281
73,327.312855,-59.254141999999995
74,29.153789999999997,-49.913646
75,55.076518,-49.100277999999996
76,3.26815,-0.136313
77,357.399837,-46.080287999999996
78,301.220289,-58.316263
79,335.90896,-62.280977
80,353.40924,-48.885915999999995
81,26.164528999999998,-4.482671
82,13.973970999999999,1.2626359999999999
83,28.461655,-53.738915
84,36.220929999999996,-53.48988
85,354.616539,-44.43853
86,307.668731,-44.773776999999995
87,21.519486,-61.801337
88,344.977883,-0.7242989999999999
89,24.499993,-63.224581
90,40.373597,-54.099813999999995
91,36.14985,-54.239929
92,38.525591999999996,-48.012777
93,55.447055999999996,-48.005092
94,14.904891999999998,-40.043487999999996
95,54.920747,-62.240984999999995
96,30.346688,-49.750060999999995
97,336.218101,-59.027457
98,334.012134,0.006624
99,33.315833999999995,-61.355253999999995
100,341.305504,-49.144825
101,77.40512,-50.526196999999996
102,342.611344,-0.824031
103,12.839551,-53.546597
104,79.823717,-54.148875
105,74.190558,-46.351177
106,326.554174,-48.85913
107,321.350357,-50.494414
