Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
2MASS J06405747+0935147,,J06405747+0935147,100.23958333333333,9.5875,760.0,90,M,22.84,,20.77,,18.29,15.49,14.69,,14.18,,,,,,,,,,UNCON,
KIC 1868650 B,x,J19260944+3720081,291.5391666666667,37.33555555555556,,,M,,,,,,,,,,,,,,,52.0,,0.00079,2008.0,,
L 186-67 B,x,,125.7,-57.446666666666665,11.1,3.3,M,,,,,,10,,,,,,,,,21.0,,,,,
WISEA J070720.50+170532.7,,,106.83541666666666,17.092499999999998,46.0,12,M,,,15.46,,14.97,13.47,13.05,12.92,,12.66,12.51,12.43,3680,0.87,,,,2013.0,UNCON,
Mayrit 1082188,,J05383446-0253514,84.64375,-2.8975,360.0,65,M0,,,17.8,,17.17,15.55,14.15,12.71,12.65,10.9,9.85,8.09,,,36.0,,,,,
CFHTWIR-Oph 30,,,246.65333333333334,-24.316666666666666,125.0,?,M3,,,,,,16.24,14.35,13.06,,,,,3380,,,,,2011.0,UNCON,
2MASS J06475229-2523304 B,x,J06475229-2523304 B,101.96791666666667,-25.391666666666666,240.0,40,M3,,,,,,13.58,12.66,12.88,13.07,,,,,,,260.0,,,,
S Ori 18,,J05382568-0231216,84.60708333333334,-2.522777777777778,360.0,65,M3.5,19.99,,18.68,,16.63,14.59,14.09,13.75,13.84,13.41,13.19,,,,64.0,,,,UNCON,
S Ori 16,,J05391510-0240475,84.81291666666667,-2.6799999999999997,360.0,65,M3.5,20.45,,18.73,,17.28,14.67,14.04,13.66,,,,,,,65.0,,,,,
Mayrit 799173,,J05385100-0249140,84.7125,-2.8205555555555555,360.0,65,M4.5,20.04,,18.58,,16.9,15.03,14.45,14.14,14.16,14.0,13.82,,,,45.0,,,,UNCON,
S Ori 35,,J05375559-0233053,84.48166666666667,-2.551388888888889,360.0,65,M4.5,21.37,,19.4,,17.57,15.14,14.66,14.3,14.19,13.95,13.39,,,,43.0,,,,UNCON,
Mayrit 790270,,J05375206-0236046,84.46708333333333,-2.601388888888889,360.0,65,M4.5,20.91,,19.2,,17.49,15.14,14.64,14.33,14.2,14.17,13.82,,,,43.0,,,,UNCON,
Mayrit 588270,,J05380552-0235571,84.52291666666666,-2.5991666666666666,360.0,65,M4.5,21.41,,19.6,,18,15.28,14.8,14.42,14.24,13.95,13.36,,,,41.0,,,,UNCON,
S Ori J053911.4-023333,,J05391139-0233327,84.7975,-2.5591666666666666,360.0,65,M5,19.94,,18.32,,16.54,14.45,13.93,13.57,,,,,,,82.0,,,,UNCON,
